,date,power,temp
0,2016-10-01,46078,28.1
1,2016-10-02,41308,28.0
2,2016-10-03,49054,28.4
3,2016-10-05,50089,27.6
4,2016-10-06,49753,28.8
5,2016-10-07,49849,28.1
6,2016-10-08,49059,28.3
7,2016-10-09,45712,28.9
8,2016-10-10,49554,28.5
9,2016-10-11,47059,28.4
10,2016-10-12,50659,29.1
11,2016-10-13,46522,26.0
12,2016-10-14,50467,24.9
13,2016-10-15,40584,24.3
14,2016-10-16,39192,27.1
15,2016-10-17,44242,28.0
16,2016-10-18,46996,28.5
17,2016-10-19,44265,28.3
18,2016-10-20,47597,27.8
19,2016-10-21,46780,28.7
20,2016-10-22,48418,29.2
21,2016-10-23,45524,28.6
22,2016-10-24,54774,28.3
23,2016-10-25,49905,26.7
24,2016-10-26,52730,27.3
25,2016-10-27,53527,27.9
26,2016-10-28,58653,28.2
27,2016-10-29,50584,27.8
28,2016-10-30,40565,22.7
29,2016-10-31,45227,21.2
30,2016-11-01,40813,22.3
31,2016-11-02,39869,22.2
32,2016-11-03,40747,22.8
33,2016-11-04,41088,22.4
34,2016-11-05,41293,23.8
35,2016-11-06,39394,24.4
36,2016-11-07,42603,25.2
37,2016-11-08,41529,24.3
38,2016-11-09,40576,17.0
39,2016-11-10,39918,16.2
40,2016-11-11,40896,18.7
41,2016-11-12,38613,21.6
42,2016-11-13,37805,24.2
43,2016-11-14,41696,26.0
44,2016-11-15,43760,26.9
45,2016-11-16,44846,25.8
46,2016-11-17,44451,25.8
47,2016-11-18,44154,25.4
48,2016-11-19,41967,26.5
49,2016-11-20,39070,26.7
50,2016-11-21,41113,27.2
51,2016-11-22,45636,27.5
52,2016-11-23,45792,26.9
53,2016-11-24,39344,19.0
54,2016-11-25,39282,18.7
55,2016-11-26,38110,18.6
56,2016-11-27,37903,19.2
57,2016-11-28,37996,18.3
58,2016-11-29,43249,19.0
59,2016-11-30,44243,21.0
60,2016-12-01,39338,19.7
61,2016-12-02,40214,21.3
62,2016-12-03,39492,21.7
63,2016-12-04,36617,22.3
64,2016-12-05,45678,22.9
65,2016-12-06,40888,23.0
66,2016-12-07,40368,19.6
67,2016-12-08,39830,20.3
68,2016-12-09,39471,20.6
69,2016-12-10,39174,19.5
70,2016-12-11,36685,20.3
71,2016-12-12,40629,22.9
72,2016-12-13,42668,24.1
73,2016-12-14,41913,22.0
74,2016-12-15,41464,17.3
75,2016-12-16,40430,18.0
76,2016-12-17,39687,18.1
77,2016-12-18,36843,19.3
78,2016-12-19,39606,21.5
79,2016-12-20,46817,23.3
80,2016-12-21,41488,24.4
81,2016-12-22,40922,21.9
82,2016-12-23,40931,21.2
83,2016-12-24,39765,21.6
84,2016-12-25,37778,22.8
85,2016-12-26,41659,24.1
86,2016-12-27,40596,19.1
87,2016-12-28,40202,17.4
88,2016-12-29,39153,17.3
89,2016-12-30,43758,17.5
90,2016-12-31,36894,18.8
91,2017-01-01,31949,18.3
92,2017-01-02,36411,20.0
93,2017-01-03,45302,22.5
94,2017-01-04,41450,22.5
95,2017-01-05,41613,20.8
96,2017-01-06,41062,21.0
97,2017-01-06,41062,21.0
98,2017-01-07,39938,22.5
99,2017-01-08,38858,22.9
100,2017-01-09,40694,22.5
101,2017-01-10,41297,21.2
102,2017-01-11,43064,21.4
103,2017-01-12,41684,15.1
104,2017-01-13,45159,14.6
105,2017-01-14,40326,15.9
106,2017-01-15,37693,17.1
107,2017-01-16,40617,16.0
108,2017-01-17,41381,16.8
109,2017-01-18,41700,17.4
110,2017-01-19,45409,18.8
111,2017-01-20,41090,17.9
112,2017-01-21,39560,16.0
113,2017-01-22,36173,17.2
114,2017-01-23,38251,17.6
115,2017-01-24,36600,18.6
116,2017-01-24,36600,18.6
117,2017-01-25,32642,21.0
118,2017-01-26,28794,21.0
119,2017-01-27,29426,20.2
120,2017-01-28,25686,20.7
121,2017-01-29,24278,21.0
122,2017-01-30,23861,21.3
123,2017-01-31,25239,20.5
124,2017-02-01,27673,21.2
125,2017-02-02,32323,21.1
126,2017-02-03,34371,20.6
127,2017-02-04,34302,20.9
128,2017-02-05,37168,21.3
129,2017-02-06,37121,20.3
130,2017-02-07,39417,22.0
131,2017-02-08,40316,21.7
132,2017-02-09,39556,17.2
133,2017-02-10,38716,16.2
134,2017-02-11,38312,16.0
135,2017-02-12,36450,16.8
136,2017-02-13,39044,17.1
137,2017-02-14,40988,17.9
138,2017-02-15,40746,18.9
139,2017-02-16,41211,21.4
140,2017-02-17,40980,21.9
141,2017-02-18,38386,22.2
142,2017-02-19,37395,21.4
143,2017-02-20,44250,22.3
144,2017-02-21,41653,23.9
145,2017-02-22,42880,25.0
146,2017-02-23,40479,21.3
147,2017-02-24,40269,15.9
148,2017-02-25,39222,14.9
149,2017-02-27,39394,18.7
150,2017-02-28,41105,18.8
151,2017-03-01,40376,16.9
152,2017-03-02,41372,19.6
153,2017-03-03,42492,20.4
154,2017-03-04,39354,21.5
155,2017-03-05,38760,23.0
156,2017-03-06,41161,22.0
157,2017-03-07,40919,17.8
158,2017-03-08,41612,16.4
159,2017-03-09,42524,16.7
160,2017-03-10,41922,19.0
161,2017-03-11,40218,20.5
162,2017-03-12,39266,22.5
163,2017-03-13,42375,24.3
164,2017-03-14,43728,24.9
165,2017-03-15,42671,20.3
166,2017-03-16,42766,20.7
167,2017-03-17,43580,20.9
168,2017-03-18,42071,22.8
169,2017-03-19,38788,23.8
170,2017-03-20,44260,24.8
171,2017-03-21,43113,24.7
172,2017-03-22,43795,25.2
173,2017-03-23,45250,25.7
174,2017-03-24,43764,26.1
175,2017-03-25,38507,22.6
176,2017-03-26,36771,19.6
177,2017-03-27,39926,19.3
178,2017-03-28,41496,21.5
179,2017-03-29,39583,21.8
180,2017-03-30,41404,24.4
181,2017-03-31,41295,21.7
182,2017-04-01,38551,21.8
183,2017-04-02,35678,20.9
184,2017-04-04,42006,23.5
185,2017-04-05,42390,23.6
186,2017-04-06,37449,24.7
187,2017-04-07,42089,25.1
188,2017-04-08,42153,25.6
189,2017-04-09,41791,26.8
190,2017-04-10,48132,27.7
191,2017-04-11,50634,28.7
192,2017-04-13,44321,23.5
193,2017-04-14,43836,23.6
194,2017-04-15,42418,24.5
195,2017-04-16,41926,26.0
196,2017-04-17,45636,26.8
197,2017-04-18,44031,23.4
198,2017-04-19,48142,26.2
199,2017-04-20,51514,29.0
200,2017-04-21,52044,28.3
201,2017-04-22,52044,22.7
202,2017-04-23,37856,21.6
203,2017-04-24,43483,23.1
204,2017-04-25,45464,25.2
205,2017-04-26,47417,26.9
206,2017-04-27,45288,24.4
207,2017-04-28,44360,23.9
208,2017-04-29,40581,24.9
209,2017-04-30,33801,25.0
210,2017-05-01,33725,27.7
211,2017-05-02,41857,28.4
212,2017-05-03,50730,29.0
213,2017-05-04,53643,29.7
214,2017-05-05,51819,27.8
215,2017-05-06,49551,26.9
216,2017-05-07,46172,28.1
217,2017-05-08,51933,28.6
218,2017-05-09,53701,28.8
219,2017-05-10,54338,28.3
220,2017-05-11,54837,28.7
221,2017-05-12,49956,25.8
222,2017-05-13,47323,27.5
223,2017-05-14,45592,28.4
224,2017-05-15,52600,27.7
225,2017-05-16,52549,28.7
226,2017-05-17,50844,26.2
227,2017-05-18,46022,22.8
228,2017-05-19,43503,21.7
229,2017-05-20,42290,25.8
