,date,power,temp,holiday
0,2016-10-01,46078,28.1,1
1,2016-10-02,41308,28.0,1
2,2016-10-03,49054,28.4,0
3,2016-10-05,50089,27.6,0
4,2016-10-06,49753,28.8,0
5,2016-10-07,49849,28.1,0
6,2016-10-08,49059,28.3,1
7,2016-10-09,45712,28.9,1
8,2016-10-10,49554,28.5,0
9,2016-10-11,47059,28.4,0
10,2016-10-12,50659,29.1,0
11,2016-10-13,46522,26.0,0
12,2016-10-14,50467,24.9,0
13,2016-10-15,40584,24.3,1
14,2016-10-16,39192,27.1,1
15,2016-10-17,44242,28.0,0
16,2016-10-18,46996,28.5,0
17,2016-10-19,44265,28.3,0
18,2016-10-20,47597,27.8,0
19,2016-10-21,46780,28.7,0
20,2016-10-22,48418,29.2,1
21,2016-10-23,45524,28.6,1
22,2016-10-24,54774,28.3,0
23,2016-10-25,49905,26.7,0
24,2016-10-26,52730,27.3,0
25,2016-10-27,53527,27.9,0
26,2016-10-28,58653,28.2,0
27,2016-10-29,50584,27.8,1
28,2016-10-30,40565,22.7,1
29,2016-10-31,45227,21.2,0
30,2016-11-01,40813,22.3,0
31,2016-11-02,39869,22.2,0
32,2016-11-03,40747,22.8,0
33,2016-11-04,41088,22.4,0
34,2016-11-05,41293,23.8,1
35,2016-11-06,39394,24.4,1
36,2016-11-07,42603,25.2,0
37,2016-11-08,41529,24.3,0
38,2016-11-09,40576,17.0,0
39,2016-11-10,39918,16.2,0
40,2016-11-11,40896,18.7,0
41,2016-11-12,38613,21.6,1
42,2016-11-13,37805,24.2,1
43,2016-11-14,41696,26.0,0
44,2016-11-15,43760,26.9,0
45,2016-11-16,44846,25.8,0
46,2016-11-17,44451,25.8,0
47,2016-11-18,44154,25.4,0
48,2016-11-19,41967,26.5,1
49,2016-11-20,39070,26.7,1
50,2016-11-21,41113,27.2,0
51,2016-11-22,45636,27.5,0
52,2016-11-23,45792,26.9,0
53,2016-11-24,39344,19.0,0
54,2016-11-25,39282,18.7,0
55,2016-11-26,38110,18.6,1
56,2016-11-27,37903,19.2,1
57,2016-11-28,37996,18.3,0
58,2016-11-29,43249,19.0,0
59,2016-11-30,44243,21.0,0
60,2016-12-01,39338,19.7,0
61,2016-12-02,40214,21.3,0
62,2016-12-03,39492,21.7,1
63,2016-12-04,36617,22.3,1
64,2016-12-05,45678,22.9,0
65,2016-12-06,40888,23.0,0
66,2016-12-07,40368,19.6,0
67,2016-12-08,39830,20.3,0
68,2016-12-09,39471,20.6,0
69,2016-12-10,39174,19.5,1
70,2016-12-11,36685,20.3,1
71,2016-12-12,40629,22.9,0
72,2016-12-13,42668,24.1,0
73,2016-12-14,41913,22.0,0
74,2016-12-15,41464,17.3,0
75,2016-12-16,40430,18.0,0
76,2016-12-17,39687,18.1,1
77,2016-12-18,36843,19.3,1
78,2016-12-19,39606,21.5,0
79,2016-12-20,46817,23.3,0
80,2016-12-21,41488,24.4,0
81,2016-12-22,40922,21.9,0
82,2016-12-23,40931,21.2,0
83,2016-12-24,39765,21.6,1
84,2016-12-25,37778,22.8,1
85,2016-12-26,41659,24.1,0
86,2016-12-27,40596,19.1,0
87,2016-12-28,40202,17.4,0
88,2016-12-29,39153,17.3,0
89,2016-12-30,43758,17.5,0
90,2016-12-31,36894,18.8,1
91,2017-01-01,31949,18.3,1
92,2017-01-02,36411,20.0,0
93,2017-01-03,45302,22.5,0
94,2017-01-04,41450,22.5,0
95,2017-01-05,41613,20.8,0
96,2017-01-06,41062,21.0,0
97,2017-01-06,41062,21.0,0
98,2017-01-07,39938,22.5,1
99,2017-01-08,38858,22.9,1
100,2017-01-09,40694,22.5,0
101,2017-01-10,41297,21.2,0
102,2017-01-11,43064,21.4,0
103,2017-01-12,41684,15.1,0
104,2017-01-13,45159,14.6,0
105,2017-01-14,40326,15.9,1
106,2017-01-15,37693,17.1,1
107,2017-01-16,40617,16.0,0
108,2017-01-17,41381,16.8,0
109,2017-01-18,41700,17.4,0
110,2017-01-19,45409,18.8,0
111,2017-01-20,41090,17.9,0
112,2017-01-21,39560,16.0,1
113,2017-01-22,36173,17.2,1
114,2017-01-23,38251,17.6,0
115,2017-01-24,36600,18.6,0
116,2017-01-24,36600,18.6,0
117,2017-01-25,32642,21.0,0
118,2017-01-26,28794,21.0,0
119,2017-01-27,29426,20.2,1
120,2017-01-28,25686,20.7,1
121,2017-01-29,24278,21.0,1
122,2017-01-30,23861,21.3,1
123,2017-01-31,25239,20.5,1
124,2017-02-01,27673,21.2,1
125,2017-02-02,32323,21.1,0
126,2017-02-03,34371,20.6,0
127,2017-02-04,34302,20.9,1
128,2017-02-05,37168,21.3,1
129,2017-02-06,37121,20.3,0
130,2017-02-07,39417,22.0,0
131,2017-02-08,40316,21.7,0
132,2017-02-09,39556,17.2,0
133,2017-02-10,38716,16.2,0
134,2017-02-11,38312,16.0,1
135,2017-02-12,36450,16.8,1
136,2017-02-13,39044,17.1,0
137,2017-02-14,40988,17.9,0
138,2017-02-15,40746,18.9,0
139,2017-02-16,41211,21.4,0
140,2017-02-17,40980,21.9,0
141,2017-02-18,38386,22.2,1
142,2017-02-19,37395,21.4,1
143,2017-02-20,44250,22.3,0
144,2017-02-21,41653,23.9,0
145,2017-02-22,42880,25.0,0
146,2017-02-23,40479,21.3,0
147,2017-02-24,40269,15.9,0
148,2017-02-25,39222,14.9,1
149,2017-02-27,39394,18.7,0
150,2017-02-28,41105,18.8,0
151,2017-03-01,40376,16.9,0
152,2017-03-02,41372,19.6,0
153,2017-03-03,42492,20.4,0
154,2017-03-04,39354,21.5,1
155,2017-03-05,38760,23.0,1
156,2017-03-06,41161,22.0,0
157,2017-03-07,40919,17.8,0
158,2017-03-08,41612,16.4,0
159,2017-03-09,42524,16.7,0
160,2017-03-10,41922,19.0,0
161,2017-03-11,40218,20.5,1
162,2017-03-12,39266,22.5,1
163,2017-03-13,42375,24.3,0
164,2017-03-14,43728,24.9,0
165,2017-03-15,42671,20.3,0
166,2017-03-16,42766,20.7,0
167,2017-03-17,43580,20.9,0
168,2017-03-18,42071,22.8,1
169,2017-03-19,38788,23.8,1
170,2017-03-20,44260,24.8,0
171,2017-03-21,43113,24.7,0
172,2017-03-22,43795,25.2,0
173,2017-03-23,45250,25.7,0
174,2017-03-24,43764,26.1,0
175,2017-03-25,38507,22.6,1
176,2017-03-26,36771,19.6,1
177,2017-03-27,39926,19.3,0
178,2017-03-28,41496,21.5,0
179,2017-03-29,39583,21.8,0
180,2017-03-30,41404,24.4,0
181,2017-03-31,41295,21.7,0
182,2017-04-01,38551,21.8,1
183,2017-04-02,35678,20.9,1
184,2017-04-04,42006,23.5,0
185,2017-04-05,42390,23.6,0
186,2017-04-06,37449,24.7,1
187,2017-04-07,42089,25.1,0
188,2017-04-08,42153,25.6,1
189,2017-04-09,41791,26.8,1
190,2017-04-10,48132,27.7,0
191,2017-04-11,50634,28.7,0
192,2017-04-13,44321,23.5,0
193,2017-04-14,43836,23.6,0
194,2017-04-15,42418,24.5,1
195,2017-04-16,41926,26.0,1
196,2017-04-17,45636,26.8,0
197,2017-04-18,44031,23.4,0
198,2017-04-19,48142,26.2,0
199,2017-04-20,51514,29.0,0
200,2017-04-21,52044,28.3,0
201,2017-04-22,52044,22.7,1
202,2017-04-23,37856,21.6,1
203,2017-04-24,43483,23.1,0
204,2017-04-25,45464,25.2,0
205,2017-04-26,47417,26.9,0
206,2017-04-27,45288,24.4,0
207,2017-04-28,44360,23.9,0
208,2017-04-29,40581,24.9,1
209,2017-04-30,33801,25.0,1
210,2017-05-01,33725,27.7,1
211,2017-05-02,41857,28.4,0
212,2017-05-03,50730,29.0,0
213,2017-05-04,53643,29.7,0
214,2017-05-05,51819,27.8,0
215,2017-05-06,49551,26.9,1
216,2017-05-07,46172,28.1,1
217,2017-05-08,51933,28.6,0
218,2017-05-09,53701,28.8,0
219,2017-05-10,54338,28.3,0
220,2017-05-11,54837,28.7,0
221,2017-05-12,49956,25.8,0
222,2017-05-13,47323,27.5,1
223,2017-05-14,45592,28.4,1
224,2017-05-15,52600,27.7,0
225,2017-05-16,52549,28.7,0
226,2017-05-17,50844,26.2,0
227,2017-05-18,46022,22.8,0
228,2017-05-19,43503,21.7,0
229,2017-05-20,42290,25.8,1
230,2017-05-21,43792,26.6,1
231,2017-05-22,52697,29.1,0
232,2017-05-23,58029,30.1,0
233,2017-05-24,56580,27.6,0
234,2017-05-25,49621,26.6,0
235,2017-05-26,49114,28.1,0
236,2017-05-27,48617,27.6,1
237,2017-05-28,45181,27.8,1
238,2017-05-29,49136,28.6,0
239,2017-05-30,49236,29.1,0
240,2017-05-31,59665,30.0,0
241,2017-06-01,62944,32.5,0
242,2017-06-02,71643,34.6,0
243,2017-06-03,71082,36.1,1
244,2017-06-04,71527,36.2,1
245,2017-06-05,77075,35.0,0
246,2017-06-06,69125,31.0,0
247,2017-06-07,52427,26.2,0
248,2017-06-08,55990,28.7,0
249,2017-06-09,56166,29.1,0
250,2017-06-10,53039,29.7,1
